ProductId,SimulationDate,TY_Start_Date,Unit_TY,ASP_TY,Unit_Forecast,Unit_LY,ASP_LY,TY_StockOut,Total_Day,LY_StockOut,Incoming_Inventory_TY,Inventory_TY,Inventory_LY,FinalROP,ROQ,LostSales,ServiceLevel,SOQ_Realized,SalesRevenue_TY,SalesRevenue_LY,LY_Lost_Sales,TY_Lost_Sales,Total_Day_LY,StoreCount_W,CostOfGoodsSold,Timing,product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product,Profitability
462701,2023-05-21,2023-04-09,36,44.875,,55.0,44.26763636,23,1134,142.0,21.0,337.0,308.0,222,0,0,,15.0,1615.5,2434.72,7.116920535,1.24652535,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1594.57
462701,2023-05-21,2023-04-16,35,45.0,,31.0,44.41935484,45,1134,215.0,16.0,326.0,265.0,228,0,0,,26.0,1575.0,1377.0,6.952660968,2.068330613,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1554.07
462701,2023-05-21,2023-04-23,24,42.67416667,,27.0,44.61851852,73,1134,154.0,19.0,310.0,250.0,235,0,0,,33.0,1024.18,1204.7,6.789299594,1.502261911,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1003.2500000000001
462701,2023-05-21,2023-02-05,11,45.0,,4.0,45.0,50,1134,499.0,7.0,279.0,160.0,189,0,0,,1.0,495.0,180.0,2.107885873,0.594200807,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,474.07
462701,2023-05-21,2023-02-12,13,45.28538462,,13.0,44.39769231,48,1134,543.0,22.0,275.0,154.0,233,0,0,,27.0,588.71,577.17,5.844635394,0.774832027,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,567.7800000000001
462701,2023-05-21,2023-02-19,34,45.0,,4.0,42.5,187,1134,500.0,51.0,280.0,142.0,237,0,0,,26.0,1530.0,170.0,2.692958617,34.43480593,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1509.07
462701,2023-05-21,2023-02-26,36,44.875,,24.0,44.94625,52,1134,303.0,43.0,305.0,227.0,267,0,0,,17.0,1615.5,1078.71,6.106031713,1.5035515,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1594.57
462701,2023-05-21,2023-03-05,31,44.90193548,,17.0,44.44941176,62,1134,303.0,68.0,309.0,273.0,217,0,0,,74.0,1391.96,755.64,4.715286427,1.796805875,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1371.03
462701,2023-05-21,2023-03-12,30,45.0,,24.0,44.79166667,36,1134,345.0,57.0,323.0,256.0,234,0,0,,18.0,1350.0,1075.0,7.00986095,0.564739362,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1329.07
462701,2023-05-21,2022-12-25,23,44.80434783,,12.0,40.0,67,1134,551.0,14.0,251.0,158.0,0,0,0,,20.0,1030.5,480.0,11.9833442,1.474125617,1134.0,162,20.93,Actual,462701,Sports Shirt - White05 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,SMALL,WHITE05,1,0,1009.57
