product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product
4427666,Basketball Short - Red - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Medium Or Regular,Red,1,0
4427667,Basketball Short - Red - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Large,Red,1,0
4427668,Basketball Short - Red - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,X Large,Red,1,0
4427669,Basketball Short - Red - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XX Large,Red,1,0
4427670,Basketball Short - Red - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,slow,XXX Large,Red,1,0
4427671,Basketball Short - Red Dark 02 - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,slow,Small,Red Dark 02,1,0
4427672,Basketball Short - Red Dark 02 - Medium Or Regular,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Medium Or Regular,Red Dark 02,1,0
4427673,Basketball Short - Red Dark 02 - Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Large,Red Dark 02,1,0
4427674,Basketball Short - Red Dark 02 - X Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,X Large,Red Dark 02,1,0
4427675,Basketball Short - Red Dark 02 - Xx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XX Large,Red Dark 02,1,0
4427676,Basketball Short - Red Dark 02 - Xxx Large,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,XXX Large,Red Dark 02,1,0
4428488,Mesh Short - Black - Small,Apparel,Athletic/Youth Apparel - Fike,Mens Ath,Mens Ath Shorts,Basketball,mid,Small,Black,1,0
