product_id,product_description,product_hierarchy_1_description,product_hierarchy_2_description,product_hierarchy_3_description,product_hierarchy_4_description,product_hierarchy_5_description,product_speed_cluster,size,color,family_is_main,new_product
2633834,Short Sleeve Shirt - Blue Medium 04 - Xxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XXX Large,Blue Medium 04,1,0
2633835,Short Sleeve Shirt - Blue Medium 04 - Xx Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large Tall,Blue Medium 04,1,0
2633836,Short Sleeve Shirt - Blue Medium 04 - X Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,X Large Tall,Blue Medium 04,1,0
2633883,Short Sleeve Shirt - Brown Light 04 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Large,Brown Light 04,1,0
2633884,Short Sleeve Shirt - Brown Light 04 - Xxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XXX Large,Brown Light 04,1,0
2633885,Short Sleeve Shirt - Brown Light 04 - X Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,X Large Tall,Brown Light 04,1,0
2633889,Short Sleeve Shirt - Green Dark 04 - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Medium Or Regular,Green Dark 04,1,0
2633891,Short Sleeve Shirt - Blue Medium 04 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,Small,Blue Medium 04,1,0
2633892,Short Sleeve Shirt - Blue Medium 04 - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,Medium Or Regular,Blue Medium 04,1,0
2633893,Short Sleeve Shirt - Blue Medium 04 - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,Large,Blue Medium 04,1,0
2633894,Short Sleeve Shirt - White - Xxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XXX Large,White,1,0
2633895,Short Sleeve Shirt - White - Xx Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large Tall,White,1,0
2634087,Short Sleeve Shirt - White - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Small,White,1,0
2634088,Short Sleeve Shirt - White - X Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,X Large,White,1,0
2634089,Short Sleeve Shirt - White - Xxxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XXXX Large,White,1,0
2634317,Short Sleeve Shirt - Brown Light 04 - Xxxx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XXXX Large,Brown Light 04,1,0
2634323,Short Sleeve Shirt - Green Dark 04 - X Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,X Large Tall,Green Dark 04,1,0
2634324,Short Sleeve Shirt - Black - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Medium Or Regular,Black,1,0
2634325,Short Sleeve Shirt - Black - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Large,Black,1,0
2634327,Short Sleeve Shirt - Black - X Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,X Large Tall,Black,1,0
2634329,Short Sleeve Shirt - White - Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Large,White,1,0
2634330,Short Sleeve Shirt - White - Xx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XX Large,White,1,0
2634688,Short Sleeve Shirt - Brown Light 04 - Small,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,Small,Brown Light 04,1,0
2634689,Short Sleeve Shirt - Brown Light 04 - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Medium Or Regular,Brown Light 04,1,0
2634690,Short Sleeve Shirt - Brown Light 04 - Xx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XX Large,Brown Light 04,1,0
2634691,Short Sleeve Shirt - Brown Light 04 - Xx Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large Tall,Brown Light 04,1,0
2634693,Short Sleeve Shirt - Green Dark 04 - X Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,X Large,Green Dark 04,1,0
2634694,Short Sleeve Shirt - Green Dark 04 - Xx Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large Tall,Green Dark 04,1,0
2634695,Short Sleeve Shirt - Black - Xx Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,XX Large Tall,Black,1,0
2634696,Short Sleeve Shirt - Blue Medium 04 - Xx Large,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,mid,XX Large,Blue Medium 04,1,0
2634698,Short Sleeve Shirt - White - Medium Or Regular,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,fast,Medium Or Regular,White,1,0
2634699,Short Sleeve Shirt - White - X Large Tall,Apparel,Outdoor/Seasonal Apparel,Mens Outdoor Tops,Mens Sports Tops,SS Tops,slow,X Large Tall,White,1,0
3626070,Casual Shirt - Blue Bright 04 - 3X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,3X Women's,Blue Bright 04,1,1
3626080,Casual Shirt - Pink Light 03 - 1X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,1X Women's,Pink Light 03,1,1
3626083,Casual Shirt - Pink Light 03 - 2X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,2X Women's,Pink Light 03,1,1
3626105,Casual Shirt - Blue Bright 04 - 2X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,2X Women's,Blue Bright 04,1,1
3626186,Casual Shirt - Blue Bright 04 - 1X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,1X Women's,Blue Bright 04,1,1
3626187,Casual Shirt - Pink Light 03 - 3X Women'S,Apparel,Outdoor/Seasonal/Licensed Apparel - Batten,Womens Outdoor Tops,Womens Outdoor Plus Size Tops,SS Tops,slow,3X Women's,Pink Light 03,1,1
